Athlete_ID,Sport_Type,Training_Hours,Training_Intensity,Sleep_Hours,Nutrition_Score,Fatigue_Level,Recovery_Index,Performance_Score,Injury_Risk,Date,Training_Load,Wellness Score,Acute_Load,Chronic_Load,ACWR,Risk_Level,Avg_Training_Load,Recent_Load,Load_Ratio
A0001,Badminton,4.49,2,5.0,78,9,93,68,High,2025-01-01,8.98,73.66666666666667,8.98,,1.0,Optimal,8.98,8.98,1.0
A0002,Athletics,3.68,6,5.2,68,9,52,94,Low,2025-01-02,22.080000000000002,57.333333333333336,22.080000000000002,,1.0,Optimal,22.080000000000002,22.080000000000002,1.0
A0003,Cricket,2.55,5,7.4,68,7,88,93,Medium,2025-01-03,12.75,76.66666666666667,12.75,,1.0,Optimal,12.75,12.75,1.0
A0004,Badminton,5.07,10,8.6,51,10,76,56,Low,2025-01-04,50.7,71.0,50.7,,1.0,Optimal,50.7,50.7,1.0
A0005,Tennis,4.42,9,6.0,90,3,82,93,Low,2025-01-05,39.78,77.33333333333333,39.78,,1.0,Optimal,39.78,39.78,1.0
A0006,Hockey,1.81,5,6.9,94,5,78,53,High,2025-01-06,9.05,80.33333333333333,9.05,,1.0,Optimal,9.05,9.05,1.0
A0007,Cricket,5.55,2,6.8,64,4,100,83,Low,2025-01-07,11.1,77.33333333333333,11.1,,1.0,Optimal,11.1,11.1,1.0
A0008,Cricket,5.11,5,6.9,52,7,81,51,Low,2025-01-08,25.55,67.33333333333333,25.55,,1.0,Optimal,25.55,25.55,1.0
A0009,Badminton,5.75,4,7.5,60,9,56,54,Low,2025-01-09,23.0,63.666666666666664,23.0,,1.0,Optimal,23.0,23.0,1.0
A0010,Basketball,4.63,7,6.9,95,2,54,59,Low,2025-01-10,32.41,72.66666666666667,32.41,,1.0,Optimal,32.41,32.41,1.0
A0011,Tennis,4.07,6,6.8,79,8,57,81,Low,2025-01-11,24.42,68.0,24.42,,1.0,Optimal,24.42,24.42,1.0
A0012,Badminton,3.09,2,6.9,89,9,62,91,Medium,2025-01-12,6.18,73.33333333333333,6.18,,1.0,Optimal,6.18,6.18,1.0
A0013,Tennis,5.66,5,7.4,67,10,93,90,High,2025-01-13,28.3,78.0,28.3,,1.0,Optimal,28.3,28.3,1.0
A0014,Tennis,5.33,7,7.1,100,10,90,62,High,2025-01-14,37.31,87.0,37.31,,1.0,Optimal,37.31,37.31,1.0
A0015,Hockey,1.23,7,8.4,97,9,69,88,Low,2025-01-15,8.61,83.33333333333333,8.61,,1.0,Optimal,8.61,8.61,1.0
A0016,Cricket,1.13,5,5.2,51,10,97,54,Low,2025-01-16,5.6499999999999995,66.66666666666667,5.6499999999999995,,1.0,Optimal,5.6499999999999995,5.6499999999999995,1.0
A0017,Athletics,2.88,9,8.3,81,7,73,59,Low,2025-01-17,25.919999999999998,79.0,25.919999999999998,,1.0,Optimal,25.919999999999998,25.919999999999998,1.0
A0018,Hockey,5.05,4,8.4,57,9,97,59,Medium,2025-01-18,20.2,79.33333333333333,20.2,,1.0,Optimal,20.2,20.2,1.0
A0019,Hockey,5.94,3,6.1,71,9,43,87,Low,2025-01-19,17.82,58.333333333333336,17.82,,1.0,Optimal,17.82,17.82,1.0
A0020,Tennis,1.75,4,6.9,55,3,42,76,Low,2025-01-20,7.0,55.333333333333336,7.0,,1.0,Optimal,7.0,7.0,1.0
A0021,Swimming,3.97,5,6.8,61,4,46,100,Medium,2025-01-21,19.85,58.333333333333336,19.85,,1.0,Optimal,19.85,19.85,1.0
A0022,Cricket,2.9,6,5.9,96,2,95,70,Low,2025-01-22,17.4,83.33333333333333,17.4,,1.0,Optimal,17.4,17.4,1.0
A0023,Basketball,5.85,3,6.6,89,10,57,57,Low,2025-01-23,17.549999999999997,70.66666666666667,17.549999999999997,,1.0,Optimal,17.549999999999997,17.549999999999997,1.0
A0024,Hockey,5.21,2,5.2,85,3,81,50,High,2025-01-24,10.42,72.66666666666667,10.42,,1.0,Optimal,10.42,10.42,1.0
A0025,Athletics,5.19,4,6.1,64,5,46,77,High,2025-01-25,20.76,57.0,20.76,,1.0,Optimal,20.76,20.76,1.0
A0026,Swimming,3.34,5,8.3,77,5,79,98,Low,2025-01-26,16.7,79.66666666666667,16.7,,1.0,Optimal,16.7,16.7,1.0
A0027,Swimming,3.07,4,6.1,98,6,45,88,Low,2025-01-27,12.28,68.0,12.28,,1.0,Optimal,12.28,12.28,1.0
A0028,Basketball,2.37,3,8.3,94,7,61,63,High,2025-01-28,7.11,79.33333333333333,7.11,,1.0,Optimal,7.11,7.11,1.0
A0029,Hockey,1.28,8,7.1,67,7,97,70,Low,2025-01-29,10.24,78.33333333333333,10.24,,1.0,Optimal,10.24,10.24,1.0
A0030,Athletics,5.32,10,8.5,51,1,40,79,Low,2025-01-30,53.2,58.666666666666664,53.2,,1.0,Optimal,53.2,53.2,1.0
A0031,Cricket,5.06,4,7.3,62,2,43,70,Low,2025-01-31,20.24,59.333333333333336,20.24,,1.0,Optimal,20.24,20.24,1.0
A0032,Football,6.0,2,5.1,94,9,85,98,Low,2025-02-01,12.0,76.66666666666667,12.0,,1.0,Optimal,12.0,12.0,1.0
A0033,Athletics,5.98,2,7.7,64,10,88,58,Low,2025-02-02,11.96,76.33333333333333,11.96,,1.0,Optimal,11.96,11.96,1.0
A0034,Basketball,3.78,1,5.2,69,2,91,66,Low,2025-02-03,3.78,70.66666666666667,3.78,,1.0,Optimal,3.78,3.78,1.0
A0035,Swimming,4.84,4,6.8,78,6,89,54,Low,2025-02-04,19.36,78.33333333333333,19.36,,1.0,Optimal,19.36,19.36,1.0
A0036,Cricket,5.72,10,8.7,91,1,82,80,Low,2025-02-05,57.199999999999996,86.66666666666667,57.199999999999996,,1.0,Optimal,57.199999999999996,57.199999999999996,1.0
A0037,Athletics,5.25,9,5.7,78,3,68,89,High,2025-02-06,47.25,67.66666666666667,47.25,,1.0,Optimal,47.25,47.25,1.0
A0038,Football,2.24,7,6.6,52,2,60,87,Medium,2025-02-07,15.680000000000001,59.333333333333336,15.680000000000001,,1.0,Optimal,15.680000000000001,15.680000000000001,1.0
A0039,Football,3.25,10,7.9,68,3,65,92,Medium,2025-02-08,32.5,70.66666666666667,32.5,,1.0,Optimal,32.5,32.5,1.0
A0040,Tennis,1.65,7,8.5,52,5,53,68,Low,2025-02-09,11.549999999999999,63.333333333333336,11.549999999999999,,1.0,Optimal,11.549999999999999,11.549999999999999,1.0
A0041,Tennis,5.77,7,7.7,63,10,48,85,Low,2025-02-10,40.39,62.666666666666664,40.39,,1.0,Optimal,40.39,40.39,1.0
A0042,Badminton,4.03,8,6.0,89,6,98,99,Low,2025-02-11,32.24,82.33333333333333,32.24,,1.0,Optimal,32.24,32.24,1.0
A0043,Basketball,2.14,1,7.7,53,9,86,82,High,2025-02-12,2.14,72.0,2.14,,1.0,Optimal,2.14,2.14,1.0
A0044,Hockey,4.36,10,6.2,60,10,51,62,Low,2025-02-13,43.6,57.666666666666664,43.6,,1.0,Optimal,43.6,43.6,1.0
A0045,Athletics,4.09,10,7.9,80,4,81,63,Low,2025-02-14,40.9,80.0,40.9,,1.0,Optimal,40.9,40.9,1.0
A0046,Athletics,2.79,8,8.8,92,7,90,82,Medium,2025-02-15,22.32,90.0,22.32,,1.0,Optimal,22.32,22.32,1.0
A0047,Hockey,1.57,4,7.9,81,6,95,78,Low,2025-02-16,6.28,85.0,6.28,,1.0,Optimal,6.28,6.28,1.0
A0048,Badminton,4.36,4,8.5,76,2,90,92,Low,2025-02-17,17.44,83.66666666666667,17.44,,1.0,Optimal,17.44,17.44,1.0
A0049,Swimming,3.6,4,5.0,79,10,45,98,High,2025-02-18,14.4,58.0,14.4,,1.0,Optimal,14.4,14.4,1.0
A0050,Swimming,4.86,6,7.9,92,8,59,85,Medium,2025-02-19,29.160000000000004,76.66666666666667,29.160000000000004,,1.0,Optimal,29.160000000000004,29.160000000000004,1.0
A0051,Badminton,3.6,7,8.3,51,7,63,93,Low,2025-02-20,25.2,65.66666666666667,25.2,,1.0,Optimal,25.2,25.2,1.0
A0052,Swimming,5.26,6,5.2,98,7,66,59,High,2025-02-21,31.56,72.0,31.56,,1.0,Optimal,31.56,31.56,1.0
A0053,Tennis,3.76,1,8.5,58,8,77,80,Low,2025-02-22,3.76,73.33333333333333,3.76,,1.0,Optimal,3.76,3.76,1.0
A0054,Athletics,3.8,8,6.0,77,1,47,55,Medium,2025-02-23,30.4,61.333333333333336,30.4,,1.0,Optimal,30.4,30.4,1.0
A0055,Badminton,5.38,10,7.7,80,1,40,50,Low,2025-02-24,53.8,65.66666666666667,53.8,,1.0,Optimal,53.8,53.8,1.0
A0056,Athletics,3.02,7,8.2,83,8,93,56,Low,2025-02-25,21.14,86.0,21.14,,1.0,Optimal,21.14,21.14,1.0
A0057,Hockey,1.67,6,7.7,64,4,88,76,Low,2025-02-26,10.02,76.33333333333333,10.02,,1.0,Optimal,10.02,10.02,1.0
A0058,Football,1.14,6,5.4,97,5,88,70,Medium,2025-02-27,6.84,79.66666666666667,6.84,,1.0,Optimal,6.84,6.84,1.0
A0059,Tennis,4.78,5,7.4,74,8,63,77,Low,2025-02-28,23.900000000000002,70.33333333333333,23.900000000000002,,1.0,Optimal,23.900000000000002,23.900000000000002,1.0
A0060,Cricket,4.1,6,7.2,85,5,86,65,Low,2025-03-01,24.599999999999998,81.0,24.599999999999998,,1.0,Optimal,24.599999999999998,24.599999999999998,1.0
A0061,Tennis,4.52,9,8.6,57,10,46,95,Low,2025-03-02,40.67999999999999,63.0,40.67999999999999,,1.0,Optimal,40.67999999999999,40.67999999999999,1.0
A0062,Badminton,2.06,10,6.6,58,4,58,72,Medium,2025-03-03,20.6,60.666666666666664,20.6,,1.0,Optimal,20.6,20.6,1.0
A0063,Cricket,1.68,9,6.3,86,6,61,69,Low,2025-03-04,15.12,70.0,15.12,,1.0,Optimal,15.12,15.12,1.0
A0064,Football,1.07,10,8.0,97,5,96,87,Low,2025-03-05,10.700000000000001,91.0,10.700000000000001,,1.0,Optimal,10.700000000000001,10.700000000000001,1.0
A0065,Badminton,2.75,8,6.7,94,7,94,74,Low,2025-03-06,22.0,85.0,22.0,,1.0,Optimal,22.0,22.0,1.0
A0066,Basketball,3.95,10,7.6,88,10,99,77,Low,2025-03-07,39.5,87.66666666666667,39.5,,1.0,Optimal,39.5,39.5,1.0
A0067,Athletics,2.96,9,7.6,81,7,74,54,Low,2025-03-08,26.64,77.0,26.64,,1.0,Optimal,26.64,26.64,1.0
A0068,Football,3.19,10,8.6,66,4,69,70,Low,2025-03-09,31.9,73.66666666666667,31.9,,1.0,Optimal,31.9,31.9,1.0
A0069,Athletics,5.52,8,7.4,84,5,68,67,Low,2025-03-10,44.16,75.33333333333333,44.16,,1.0,Optimal,44.16,44.16,1.0
A0070,Swimming,2.74,8,7.0,86,3,61,96,Low,2025-03-11,21.92,72.33333333333333,21.92,,1.0,Optimal,21.92,21.92,1.0
A0071,Basketball,3.57,1,5.6,68,4,50,55,Medium,2025-03-12,3.57,58.0,3.57,,1.0,Optimal,3.57,3.57,1.0
A0072,Basketball,4.92,10,5.5,93,4,59,78,Low,2025-03-13,49.2,69.0,49.2,,1.0,Optimal,49.2,49.2,1.0
A0073,Football,2.98,5,5.6,78,3,68,68,Low,2025-03-14,14.9,67.33333333333333,14.9,,1.0,Optimal,14.9,14.9,1.0
A0074,Basketball,4.11,4,5.7,56,10,90,82,High,2025-03-15,16.44,67.66666666666667,16.44,,1.0,Optimal,16.44,16.44,1.0
A0075,Cricket,5.31,2,7.6,77,5,80,50,Low,2025-03-16,10.62,77.66666666666667,10.62,,1.0,Optimal,10.62,10.62,1.0
A0076,Basketball,5.75,8,8.0,58,5,81,94,High,2025-03-17,46.0,73.0,46.0,,1.0,Optimal,46.0,46.0,1.0
